Title,Conference,Synthetic_Labels
A-ToPSS: A Publish/Subscribe System Supporting Imperfect Information Processing.,VLDB,INFOCOM
A 10-bit 2GHz Current-Steering CMOS D/A Converter.,ISCAS,ISCAS
"Exploiting the Diversity, Mass and Speed of Territorial Data by TELCO Operator for Better User Services.",VLDB,INFOCOM
Faster accurate reflections throught quadric mirrors.,SIGGRAPH,SIGGRAPH
Evaluating Multiple Server DBMS in General Purpors Operating System Environments.,VLDB,VLDB
An efficient homotopy method that can be easily implemented on SPICE.,ISCAS,ISCAS
"Flux: lightweight, standards-based Web graphics in XML.",SIGGRAPH,SIGGRAPH
Table of Contents (pdf).,VLDB,WWW
Visual Property Editing Tools for Web based Virtual Reality.,WWW,SIGGRAPH
Adder Circuits with Transistors using Independently Controlled Gates.,ISCAS,ISCAS
Risk-Aware Routing for Optical Transport Networks.,INFOCOM,INFOCOM
Resilient Rights Protection for Sensor Streams.,VLDB,INFOCOM
Applying Database Technology in the ADSM Mass Storage System.,VLDB,VLDB
Low-power 6-bit 1-GS/s two-channel pipeline ADC with open-loop amplification using amplifiers with local-feedback.,ISCAS,ISCAS
Oblivious AQM and Nash Equilibria.,INFOCOM,INFOCOM
SIREN: A Similarity Retrieval Engine for Complex Data.,VLDB,VLDB
Design and Performance Tools for Data Base Systems.,VLDB,VLDB
Motion tracking of time-varying mesh through surface gradient matching with multi-temporal registration.,SIGGRAPH,SIGGRAPH
An efficient MFCC extraction method in speech recognition.,ISCAS,ISCAS
New improved CMOS class AB buffers based on differential flipped voltage followers.,ISCAS,ISCAS
"Stimulation and recording of neural tissue, closing the loop on the artifact.",ISCAS,ISCAS
Tailored news in the palm of your hand: a multi-perspective transparent approach to news recommendation.,WWW,WWW
Mutual Dependencies and Some Results on Undecomposable Relations.,VLDB,VLDB
Cardinality change-based early detection of large-scale cyber-attacks.,INFOCOM,INFOCOM
A virtual environment and model of the eye for surgical simulation.,SIGGRAPH,SIGGRAPH
Low-voltage Bluetooth/ZigBee complex filter using current mirrors.,ISCAS,ISCAS
"Adaptive query processing: Why, How, When, and What Next?",VLDB,VLDB
Measurement-Based Editing of Diffuse Albedo with Consistent Interreflections,SIGGRAPH,SIGGRAPH
A spectrum-sharing rewarding framework for co-channel hybrid access femtocell networks.,INFOCOM,INFOCOM
A framework for the server-side management of conversations with web services.,WWW,WWW
Modeling semantics and structure of discussion threads.,WWW,WWW
Integrating Reliable Memory in Databases.,VLDB,VLDB
Worst-Case TCAM Rule Expansion.,INFOCOM,ISCAS
Semi-blind data-selective algorithms for channel equalization.,ISCAS,ISCAS
Distributed Privacy Preserving Information Sharing.,VLDB,INFOCOM
Approximate Query Processing: Taming the TeraBytes.,VLDB,VLDB
HTML2RSS: automatic generation of RSS feed based on structure analysis of HTML document.,WWW,WWW
StatSnowball: a statistical approach to extracting entity relationships.,WWW,WWW
Transaction Log Based Application Error Recovery and Point In-Time Query.,VLDB,VLDB
"TPC-D: The Challenges, Issues and Results.",VLDB,VLDB
A Low-power wireless multi-channel surface EMG sensor with simplified ADPCM data compression.,ISCAS,ISCAS
Global parameterization and quadrilateral meshing of point cloud.,SIGGRAPH,SIGGRAPH
A low power battery management system for rechargeable wireless implantable electronics.,ISCAS,ISCAS
Toward Learning Based Web Query Processing.,VLDB,WWW
Transmission schemes for time-varying wireless channels with partial state observations.,INFOCOM,ISCAS
Simulating Rigid Body Fracture with Surface Meshes,SIGGRAPH,SIGGRAPH
GOTHIC: glare optimizer tool for high-dynamic-range images and content with implementation in video.,SIGGRAPH,SIGGRAPH
Logical Design of Deductive Natural Language Consultable Data Bases.,VLDB,VLDB
Wireless esophageal catheter dedicated to respiratory diseases diagnostic.,ISCAS,ISCAS
Automatic Data Fusion with HumMer.,VLDB,VLDB
Irradiance rigs.,SIGGRAPH,SIGGRAPH
Jigsaw image mosaics.,SIGGRAPH,SIGGRAPH
Leveraging interlingual classification to improve web search.,WWW,WWW
Social Network Extraction of Conference Participants.,WWW,WWW
A multistandard FFT processor for wireless system-on-chip implementations.,ISCAS,ISCAS
Content-aware click modeling.,WWW,WWW
Fair Routing in Delay Tolerant Networks.,INFOCOM,INFOCOM
Optimal bounds for online page migration with generalized migration costs.,INFOCOM,VLDB
Zoom: A multi-resolution tasking framework for crowdsourced geo-spatial sensing.,INFOCOM,SIGGRAPH
Efficient Resource Allocation with Flexible Channel Cooperation in OFDMA Cognitive Radio Networks.,INFOCOM,INFOCOM
Media Browser: An Example of Metadata-Based Browsing.,WWW,WWW
Post-layout redundant wire insertion for fixing min-delay violations.,ISCAS,ISCAS
Optimizing RDF(S) queries on cloud platforms.,WWW,VLDB
Indexing XML Data Stored in a Relational Database.,VLDB,VLDB
Validation of a statistical non-linear model of GaAs HEMT MMIC's by hypothesis testing and principal components analysis.,ISCAS,ISCAS
A 145&micro;W 8&times;8 parallel multiplier based on optimized bypassing architecture.,ISCAS,ISCAS
Novel Coils Topology Intended for Biomedical Implants with Multiple Carrier Inductive Link.,ISCAS,ISCAS
Communication-Efficient Online Detection of Network-Wide Anomalies.,INFOCOM,INFOCOM
Update Semantics for Incomplete Databases.,VLDB,VLDB
The cubic interpolated level set method for realistic fluid animation.,SIGGRAPH,SIGGRAPH
Query segmentation revisited.,WWW,VLDB
Improvement of the Mu-law Proportionate NLMS Algorithm.,ISCAS,ISCAS
An efficient random access inverted index for information retrieval.,WWW,VLDB
Losses analysis and low standby losses quasi-resonant flyback converter design.,ISCAS,ISCAS
Robot rockstars: a mixed-reality game.,SIGGRAPH,SIGGRAPH
Query Processing in a Relational Database Management System.,VLDB,VLDB
Efficient Indexing for Diverse Query Results.,VLDB,VLDB
Selectivity Estimation in Extensible Databases - A Neural Network Approach.,VLDB,VLDB
A Combined Framework for Grouping and Order Optimization.,VLDB,VLDB
Bifurcations in frequency controlled load resonant DC-DC converters.,ISCAS,ISCAS
A novel hybrid neuro-wavelet system for robust speech recognition.,ISCAS,ISCAS
Augmented reality disk jockey: AR/DJ.,SIGGRAPH,SIGGRAPH
Psychological maps 2.0: a web engagement enterprise starting in London.,WWW,WWW
Design for verification for asynchronously communicating Web services.,WWW,INFOCOM
Managing Change in a Computer-Aided Design Database.,VLDB,VLDB
The structure of broad topics on the web.,WWW,WWW
Gradient Local Binary Patterns for human detection.,ISCAS,SIGGRAPH
Distortion calculation of an asynchronous switching xDSL line-driver.,ISCAS,ISCAS
P2P Authority Analysis for Social Communities.,VLDB,WWW
Efficient decision feedforward equalizer with parallelizable architecture.,ISCAS,ISCAS
Fast and scalable secret key generation exploiting channel phase randomness in wireless networks.,INFOCOM,INFOCOM
Manipulating Interpolated Data is Easier than You Thought.,VLDB,SIGGRAPH
LUT-based MPGAs for fast turnaround time conversion flow.,ISCAS,VLDB
Improved ultrasound digital beamforming using single-bit sigma-delta modulators with band-pass decimation filters.,ISCAS,ISCAS
Uncertainty Principle of the Second-order LPFT.,ISCAS,ISCAS
A ladder network delay model for coupled interconnects.,ISCAS,ISCAS
Test application time minimization for RAS using basis optimization of column decoder.,ISCAS,INFOCOM
Exact cooperative regenerating codes with minimum-repair-bandwidth for distributed storage.,INFOCOM,VLDB
Web customization using behavior-based remote executing agents.,WWW,WWW
Artificial immune system based methods for spam filtering.,ISCAS,INFOCOM
An automatic semantic relationships discovery approach.,WWW,WWW
Clock and data recovery module in 90nm for 10Gbps serial link with -18dB channel attenuation.,ISCAS,ISCAS
A New Analysis Framework for Discrete Time Queueing Systems with General Stochastic Sources.,INFOCOM,VLDB
Architectures and Algorithms for Internet-Scale (P2P) Data Management.,VLDB,VLDB
A New Presumed Commit Optimization for Two Phase Commit.,VLDB,VLDB
Hash Joins and Hash Teams in Microsoft SQL Server.,VLDB,VLDB
Community cores in evolving networks.,WWW,WWW
An Evaluation of Weak State Mechanism Design for Indirection in Dynamic Networks.,INFOCOM,INFOCOM
Approximation Algorithms for Scheduling Real-Time Multicast Flows in Wireless LANs.,INFOCOM,INFOCOM
Joint Effects of Radio Channels and Node Mobility on Link Dynamics in Wireless Networks.,INFOCOM,INFOCOM
Dynamic partial reconfigurable FFT/IFFT pruning for OFDM based Cognitive radio.,ISCAS,SIGGRAPH
A 10-Bit 200-MS/s digitally-calibrated pipelined ADC using switching opamps.,ISCAS,ISCAS
A preamplifier for the front-end readout system of particles tracking in secondary electron detectors.,ISCAS,ISCAS
Query Segmentation for Web Search.,WWW,INFOCOM
Shielding Methodologies in the Presence of Power/Ground Noise.,ISCAS,ISCAS
A novel feature extraction algorithm for classification of bird flight calls.,ISCAS,VLDB
A 2-path bandpass sigma-delta modulator utilizing blue-noise path selection.,ISCAS,ISCAS
A low power low inaccuracy linearity-compensated temperature sensor for attachable medical devices.,ISCAS,ISCAS
Factors formatting perceptional impression in 3-D cyber spaces: a cross-cultural study of Korean and American users.,SIGGRAPH,SIGGRAPH
"A nose-tracked, personal olfactory display.",SIGGRAPH,SIGGRAPH
Short periodic orbits and topological entropy for the Chua's circuit.,ISCAS,ISCAS
Session-Based Overload Control in QoS-Aware Web Servers.,INFOCOM,WWW
A VLSI spike-driven dynamic synapse which learns only when necessary.,ISCAS,ISCAS
An Efficient Filter-based Addressing Protocol for Autoconfiguration of Mobile Ad Hoc Networks.,INFOCOM,INFOCOM
ProTDB: Probabilistic Data in XML.,VLDB,VLDB
Two-stage series-based neural network approach to nonlinear independent component analysis.,ISCAS,ISCAS
A Conceptual Model for Semantic Integrity Checking.,VLDB,VLDB
Needed: Distributed Control.,VLDB,ISCAS
Visualization of historical landscapes in Osaka.,SIGGRAPH,SIGGRAPH
A Silicon-on-Sapphire Low-Voltage Temperature Sensor for Energy Scavengers.,ISCAS,ISCAS
WYSIWYG NPR: drawing strokes directly on 3D models.,SIGGRAPH,SIGGRAPH
An Efficient Hardware Accelerator for Power Grid Simulation.,ISCAS,ISCAS
A Parallel Strategy for Transitive Closure usind Double Hash-Based Clustering.,VLDB,VLDB
Mixed-domain receiver architecture for white space software-defined radio scenarios.,ISCAS,ISCAS
Noncooperative Load Balancing in the Continuum Limit of a Dense Network.,INFOCOM,ISCAS
Efficient Evaluation of XQuery over Streaming Data.,VLDB,VLDB
Low-complexity Interpolation Architecture for Soft-decision Reed-Solomon Decoding.,ISCAS,ISCAS
Secure pseudo-random bit sequence generation using coupled linear congruential generators.,ISCAS,ISCAS
A self-calibrating multi-VCO PLL scheme with leakage and capacitive modulation mitigations.,ISCAS,ISCAS
Technical challenges in exploiting the web as a business resource.,WWW,WWW
HOMES: A Higher-Order Mapping Evaluation System.,VLDB,VLDB
Fine grained content-based adaptation mechanism for providing high end-user quality of experience with adaptive hypermedia systems.,WWW,WWW
Ranking refinement and its application to information retrieval.,WWW,VLDB
Compress Compound Images in H.264/MPEG-4 AVC by Fully Exploiting Spatial Correlation.,ISCAS,SIGGRAPH
Towards Robust Indexing for Ranked Queries.,VLDB,VLDB
MCDB-R: Risk Analysis in the Database.,VLDB,VLDB
Clock distribution models of 3-D integrated systems.,ISCAS,ISCAS
Isolating Physical PER for Smart Rate Selection in 802.11.,INFOCOM,INFOCOM
Neuromorphic implementation of active gaze and vergence control.,ISCAS,ISCAS
Managing Semantic Heterogeneity with Production Rules and Persistent Queues.,VLDB,VLDB
A Logic-based Framework for Mobile Intelligent Information Agents.,WWW,WWW
"All-digital frequency and clock synthesis architectures from a signals and systems perspective, current state and future directions.",ISCAS,ISCAS
A circuit that creates a logarithmic response from an integrating CMOS pixel.,ISCAS,ISCAS
1.25/2.5-Gb/s burst-mode clock recovery circuit with a novel dual bit-rate structure in 0.18&micro;m CMOS.,ISCAS,ISCAS
Object shape and reflectance modeling from observation.,SIGGRAPH,SIGGRAPH
Real-time photo-realistic augmented reality for interior design.,SIGGRAPH,SIGGRAPH
Dual sphere-unfolding method for single pass omni-directional shadow mapping.,SIGGRAPH,SIGGRAPH
Early Profile Pruning on XML-aware Publish/Subscribe Systems.,VLDB,VLDB
WATCH: summary data in spatial context.,SIGGRAPH,VLDB
Maximizing submodular set function with connectivity constraint: Theory and application to networks.,INFOCOM,VLDB
"Workshop on online reputation: context, privacy, and reputation management.",WWW,WWW
Improving H.264/AVC video coding with adaptive coefficient suppression.,ISCAS,VLDB
Lateral Error Recovery for Application-Level Multicast.,INFOCOM,INFOCOM
Optimal Allocation of Electronic Content.,INFOCOM,VLDB
Decoders for low-density parity-check convolutional codes with large memory.,ISCAS,ISCAS
CoRaS: A multiprocessor key corruption and random round swapping for power analysis side channel attacks: A DES case study.,ISCAS,ISCAS
A comparison of visual and textual page previews in judging the helpfulness of web pages.,WWW,WWW
A continuum approach to dense wireless networks with cooperation.,INFOCOM,INFOCOM
Distributed optimal contention window control for elastic traffic in wireless LANs.,INFOCOM,INFOCOM
Client-Based Access Control Management for XML documents.,VLDB,WWW
Deterministic DEM DAC Performance Analysis.,ISCAS,ISCAS
Automatic skill acquisition in Reinforcement Learning using connection graph stability centrality.,ISCAS,ISCAS
BodyT2: Throughput and time delay performance assurance for heterogeneous BSNs.,INFOCOM,INFOCOM
Adaptive Low/High Voltage Swing CMOS Driver for On-Chip Interconnects.,ISCAS,VLDB
Earth's avatar: the Web augmented virtual earth.,SIGGRAPH,WWW
Demand forecast and performance prediction in peer-assisted on-demand streaming systems.,INFOCOM,WWW
Query Processing in Tertiary Memory Databases.,VLDB,VLDB
Mesh-star Hybrid NoC Architecture with CDMA Switch.,ISCAS,ISCAS
An integrated wireless electronic nose system integrating sensing and recognition functions.,ISCAS,ISCAS
Verifiable private multi-party computation: Ranging and ranking.,INFOCOM,VLDB
Peer-to-Peer Sharing of Web Applications.,WWW,WWW
Efficient search in large textual collections with redundancy.,WWW,VLDB
Modeling Telephone Call Networks with Group Structure from a Complex Network Perspective.,ISCAS,ISCAS
A Low Energy FFT/IFFT Processor for Hearing Aids.,ISCAS,ISCAS
Fluid simulation interaction techniques.,SIGGRAPH,SIGGRAPH
PW-MAC: An energy-efficient predictive-wakeup MAC protocol for wireless sensor networks.,INFOCOM,INFOCOM
Creation and rendering of realistic trees.,SIGGRAPH,SIGGRAPH
Augmented participatory design.,SIGGRAPH,SIGGRAPH
DDoS-Resilient Scheduling to Counter Application Layer Attacks Under Imperfect Detection.,INFOCOM,INFOCOM
A New Adaptive Subpixel-based Downsampling Scheme using Edge Detection.,ISCAS,SIGGRAPH
Balun LNA with continuously controllable gain and with noise and distortion cancellation.,ISCAS,ISCAS
Linear sparse array synthesis via convex optimization.,ISCAS,ISCAS
EMPOWER: A Network Emulator for Wireless and Wireline Networks.,INFOCOM,INFOCOM
An Efficient Cost-Driven Index Selection Tool for Microsoft SQL Server.,VLDB,VLDB
Cache Coherency in Oracle Parallel Server.,VLDB,VLDB
QoE-aware resource allocation for integrated surveillance system over 4G mobile networks.,ISCAS,INFOCOM
On the Optimality and Interconnection of Valiant Load-Balancing Networks.,INFOCOM,VLDB
On the Complexity Reduction of Polyphase Linear Phase FIR Filters with Symmetric Coefficient Implementation.,ISCAS,ISCAS
A new taxonomy for reconfigurable prefix adders.,ISCAS,ISCAS
Demand-Oblivious Routing: Distributed vs. Centralized Approaches.,INFOCOM,INFOCOM
SocialFilter: Introducing social trust to collaborative spam mitigation.,INFOCOM,WWW
Multiversion Query Locking.,VLDB,VLDB
Knowledge-Based Query Processing.,VLDB,VLDB
"Restful web services vs. ""big""' web services: making the right architectural decision.",WWW,INFOCOM
The Double Life of the Transaction Abstraction: Fundamental Principle and Evolving System Concept.,VLDB,VLDB
Random-access scheduling with service differentiation in wireless networks.,INFOCOM,INFOCOM
A robust boundary detection algorithm based on connectivity only for 3D wireless sensor networks.,INFOCOM,SIGGRAPH
Heuristic Algorithms for Joint Configuration of the Optical and Electrical Layer in Multi-Hop Wavelength Routing Networks.,INFOCOM,WWW
A stochastic learning-to-rank algorithm and its application to contextual advertising.,WWW,SIGGRAPH
Handling Data Skew in Multiprocessor Database Computers Using Partition Tuning.,VLDB,VLDB
Using explicit discourse rules to guide video enrichment.,WWW,SIGGRAPH
The stringed haptic workbench.,SIGGRAPH,SIGGRAPH
Resiliency-Aware Data Management.,VLDB,VLDB
"Modeling inelastic deformation: viscolelasticity, plasticity, fracture.",SIGGRAPH,SIGGRAPH
Gossiping with Multiple Messages.,INFOCOM,ISCAS
AuditGuard: a system for database auditing under retention restrictions.,VLDB,VLDB
Simplicial interpolation for animating the Hulk.,SIGGRAPH,SIGGRAPH
"Decentralized, accurate, and low-cost network bandwidth prediction.",INFOCOM,INFOCOM
Optimal Configuration of OSPF Aggregates.,INFOCOM,ISCAS
A fast polymesh to level set algorithm.,SIGGRAPH,SIGGRAPH
Search result diversity for informational queries.,WWW,WWW
Hopf-Type Intermediate-Scale Bifurcation in Single-Stage Power-Factor-Correction Power Supplies.,ISCAS,ISCAS
A Sub-1V Low-Power High-Speed Static Frequency Divider.,ISCAS,ISCAS
Unified Energy-Efficient Routing for Multi-Hop Wireless Networks.,INFOCOM,INFOCOM
Impact of Control Signal Non-Idealties on Two-Phase Charge Pumps.,ISCAS,ISCAS
Fast Packet Classification for Two-Dimensional Conflict-Free Filters.,INFOCOM,ISCAS
File Fragmentation over an Unreliable Channel.,INFOCOM,VLDB
Ultra-low power current-based PUF.,ISCAS,ISCAS
Model-directed web transactions under constrained modalities.,WWW,WWW
An inverse method of characteristics for analyzing circuits with widely separated time-scales.,ISCAS,ISCAS
"A smooth, fast, accurate representation of reflectance.",SIGGRAPH,SIGGRAPH
IPAC - An Interactive Approach to Access Control for Semi-structured Data.,VLDB,VLDB
Oracle SecureFiles: Prepared for the Digital Deluge.,VLDB,VLDB
Trichromatic approximation for computer graphics illumination models.,SIGGRAPH,SIGGRAPH
Double-via insertion enhanced X-architecture clock routing for reliability.,ISCAS,ISCAS
Robust Geo-Routing on Embeddings of Dynamic Wireless Networks.,INFOCOM,INFOCOM
An Energy-Scalable Margin Propagation-Based Analog VLSI Support Vector Machine.,ISCAS,ISCAS
Reactive architecture.,SIGGRAPH,ISCAS
A 14-b 32MS/s Pipelined ADC with Novel Fast-convergence Comprehensive Background Calibration.,ISCAS,ISCAS
AMBA AHB bus potocol checker with efficient debugging mechanism.,ISCAS,ISCAS
A Model of Visual Adaptation for Realistic Image Synthesis.,SIGGRAPH,SIGGRAPH
On interference alignment for multi-hop MIMO networks.,INFOCOM,INFOCOM
An auto-reconfigurable dual-output SC DC-DC regulator with sub-harmonic fixed on-time control for energy-harvesting applications.,ISCAS,ISCAS
A Wide Bandwidth Sige Broadband Amplifier for 100 Gb/s Ethernet Applications.,ISCAS,ISCAS
Interactive control of avatars animated with human motion data.,SIGGRAPH,SIGGRAPH
Analysis of Blocking Probability in Noise and Crosstalk Impaired All-Optical Networks.,INFOCOM,INFOCOM
Mixed-signal implementation of a nonlinear decoder for delta-sigma encoded stream.,ISCAS,ISCAS
Addressing the privacy management crisis in online social networks.,WWW,WWW
A fault-aware dynamic routing algorithm for on-chip networks.,ISCAS,ISCAS
Numerical simulation of fluid flow on complex geometries using the Lattice-Boltzmann method and CUDA-enabled GPUs.,SIGGRAPH,SIGGRAPH
Passive client-based bandwidth and latency measurements in cellular networks.,INFOCOM,INFOCOM
Data Management on the Spatial Web.,VLDB,VLDB
Cooperating with Smartness: Using Heterogeneous Smart Antennas in Ad-Hoc Networks.,INFOCOM,INFOCOM
Avatara: OLAP for Web-scale Analytics Products.,VLDB,VLDB
Maintaining source privacy under eavesdropping and node compromise attacks.,INFOCOM,INFOCOM
An enhanced model for searching in semantic portals.,WWW,VLDB
Streaming codes for channels with burst and isolated erasures.,INFOCOM,INFOCOM
An Architecture For Integrating Low Complexity and Reconfigurability for Channel filters in Software Defined Radio Receivers.,ISCAS,ISCAS
Power efficiency calculation of class E amplifier with nonlinear shunt capacitance.,ISCAS,ISCAS
Foreword from the PC Chairs.,VLDB,VLDB
Constructing Efficient Decision Trees by Using Optimized Numeric Association Rules.,VLDB,VLDB
Volume and power optimized high-performance system for UAV collision avoidance.,ISCAS,INFOCOM
Robust super-exponential methods for blind deconvolution of MIMO-IIR systems with Gaussian noise.,ISCAS,ISCAS
An area efficient digital amplitude modulator in 90nm CMOS.,ISCAS,ISCAS
Shape Segmentation and Applications in Sensor Networks.,INFOCOM,INFOCOM
An adaptation method for FIR pre-emphasis filter on backplane channel.,ISCAS,ISCAS
"SEDA: a system for search, exploration, discovery, and analysis of XML Data.",VLDB,VLDB
Volume-aware extinction mapping.,SIGGRAPH,SIGGRAPH
Alternate hop-and-wait channel rendezvous method for cognitive radio networks.,INFOCOM,INFOCOM
Research frontiers in virtual reality.,SIGGRAPH,SIGGRAPH
Employing Natural Language Summarization and Automated Layout for Effective Presentation and Navigation of Information Retrieval Results.,WWW,VLDB
Differentiated traffic engineering for QoS provisioning.,INFOCOM,INFOCOM
Tunable QoS-aware network survivability.,INFOCOM,INFOCOM
Generalization of Lambert's reflectance model.,SIGGRAPH,SIGGRAPH
A isolated bidirectional interleaved flyback converter for battery backup system application.,ISCAS,ISCAS
Proactive failure detection for WDM carrying IP.,INFOCOM,INFOCOM
Randomized coherent sampling for reducing perceptual rendering error.,SIGGRAPH,SIGGRAPH
A 1.2V 130&micro;A 10-bit MOS-Only Log-Domain Sigma Delta Modulator.,ISCAS,ISCAS
Contextual trace-based video recommendations.,WWW,SIGGRAPH
Large-scale Data Collection: a Coordinated Approach.,INFOCOM,WWW
Automating the design of multi-dimensional clustering tables in relational databases.,VLDB,VLDB
Comparison of On-die Global Clock Distribution Methods for Parallel Serial Links.,ISCAS,ISCAS
Topological and MAI Constraints on the Performance of Wireless CDMA Sensor Networks.,INFOCOM,INFOCOM
Motion Mapping for MPEG-2 to H.264/AVC Transcoding.,ISCAS,SIGGRAPH
A Novel Fast Algorithm for Speech and Audio Coding.,ISCAS,ISCAS
Interactive lecturing techniques.,ISCAS,SIGGRAPH
Screen: bodily interaction with text in immersive VR.,SIGGRAPH,SIGGRAPH
Personalized recommendation on dynamic content using predictive bilinear models.,WWW,VLDB
Algorithms for Mining Distance-Based Outliers in Large Datasets.,VLDB,VLDB
Load Balancing in Wireless Sensor Networks using Kirchhoff's Voltage Law.,INFOCOM,INFOCOM
Voltage Elevator using a MEMS Resonator.,ISCAS,ISCAS
An efficient regular expressions compression algorithm from a new perspective.,INFOCOM,VLDB
A Low-noise Monolithic CMOS Bio-potential Detector.,ISCAS,ISCAS
Asymmetrical query recommendation method based on bipartite network resource allocation.,WWW,INFOCOM
On the nature of revenue-sharing contracts to incentivize spectrum-sharing.,INFOCOM,VLDB
A CMOS Image Sensor using Variable Reference Time Domain Encoding.,ISCAS,ISCAS
The strength of vicinity annexation in opportunistic networking.,INFOCOM,WWW
Attributing authorship of revisioned content.,WWW,VLDB
An Automated System for Web Portal Personalization.,VLDB,WWW
Elements of Style: Learning Perceptual Shape Style Similarity,SIGGRAPH,SIGGRAPH
High-speed Fluorescence Imaging System for Freely Moving Animals.,ISCAS,ISCAS
A Volumetric Method for Building Complex Models from Range Images.,SIGGRAPH,SIGGRAPH
A fine-resolution Time-to-Digital Converter for a 5GS/S ADC.,ISCAS,ISCAS
Error spectrum shaping approach for lattice filter roundoff noise reduction.,ISCAS,ISCAS
Quaternionic formulation of the first regularity for four-band paraunitary filter banks.,ISCAS,ISCAS
Choosing an Efficient Internal Schema.,VLDB,VLDB
Communication as information-seeking: the case for mobile social software for developing regions.,WWW,WWW
Planar microcoils array applied to magnetic beads based lab-on-chip for high throughput applications.,ISCAS,ISCAS
Delayed-dictionary compression for packet networks.,INFOCOM,INFOCOM
A UWB mixer with a balanced wide band active balun using crossing centertaped inductor.,ISCAS,ISCAS
General capacity scaling of wireless networks.,INFOCOM,INFOCOM
An efficient buffer management policy based on an integrated Fuzzy-GA approach.,INFOCOM,VLDB
Optimal Allocation of Resources in Distributed Information Networks.,VLDB,INFOCOM
Wavelet-based spatially adaptive method for despeckling SAR images.,ISCAS,SIGGRAPH
Set-valued Derivative and Lyapunov Method for Full-range Cellular Neural Networks.,ISCAS,ISCAS
Another look at the retina as an image scalar quantizer.,ISCAS,SIGGRAPH
"Inside the New Coolstreaming: Principles, Measurements and Performance Implications.",INFOCOM,INFOCOM
Information integration over time in unreliable and uncertain environments.,WWW,VLDB
Using Google distance to weight approximate ontology matches.,WWW,VLDB
Indexing in a Hypertext Database.,VLDB,VLDB
Equivalent rise time for resonance in power/ground noise estimation.,ISCAS,ISCAS
EMI reduction by resonant clock distribution networks.,ISCAS,ISCAS
Extracting context to improve accuracy for HTML content extraction.,WWW,WWW
A set of questions for a concept inventory for a DC Circuits course.,ISCAS,ISCAS
A revenue sharing mechanism for federated search and advertising.,WWW,VLDB
Tuning Database Configuration Parameters with iTuned.,VLDB,VLDB
Padding for orthogonality: Efficient subspace authentication for network coding.,INFOCOM,INFOCOM
Continuous reference images for FTIR touch sensing.,SIGGRAPH,SIGGRAPH
On Replica Placement for QoS-Aware Content Distribution.,INFOCOM,VLDB
Experiences in Federated Databases: From IRO-DB to MIRO-Web.,VLDB,VLDB
A Demonstration of DBWipes: Clean as You Query.,VLDB,VLDB
Precise area-controlled return-to-zero current steering DAC with reduced sensitivity to clock jitter.,ISCAS,ISCAS
Network emulation testbed for DTN applications and protocols.,INFOCOM,INFOCOM
Similarity measure and instance selection for collaborative filtering.,WWW,VLDB
SpeedGate: A smart data pricing testbed based on speed tiers.,INFOCOM,INFOCOM
An all-digital PLL with a first order noise shaping Time-to-Digital Converter.,ISCAS,ISCAS
An adaptive neuron circuit for signal compression.,ISCAS,ISCAS
Gossip-based ad hoc routing.,INFOCOM,INFOCOM
Multiresolution painting and compositing.,SIGGRAPH,SIGGRAPH
Low-Voltage CMOS Single Ended and Fully Differential Amplifier with Programmable Gain.,ISCAS,ISCAS
"Annotating and Searching Web Tables Using Entities, Types and Relationships.",VLDB,WWW
Approximation Algorithms for Grooming in Optical Network Design.,INFOCOM,INFOCOM
Digital camera identification using Colour-Decoupled photo response non-uniformity noise pattern.,ISCAS,ISCAS
Learning to Remove Soft Shadows,SIGGRAPH,SIGGRAPH
Second international workshop on RESTful design (WS-REST 2011).,WWW,WWW
Spectrum clouds: A session based spectrum trading system for multi-hop cognitive radio networks.,INFOCOM,INFOCOM
Automatic identification of user goals in Web search.,WWW,WWW
Exchanging pairwise secrets efficiently.,INFOCOM,INFOCOM
When is a List is a List?: Web Page Re-authoring for Small Display Devices.,WWW,WWW
Stylization and abstraction of photographs.,SIGGRAPH,SIGGRAPH
High-PF and ultra-low-THD power factor correction controller by sinusoidal-wave synthesis and optimized THD control.,ISCAS,ISCAS
Efficient passive transmission line macromodeling algorithm using method of characteristics.,ISCAS,ISCAS
Personal Voice Call Assistant: VoiceXML and SIP in a Distributed Environment.,WWW,ISCAS
A single inductor multiple output converter with adaptive delta current mode control.,ISCAS,ISCAS
Application of Novel Technologies to the Management of a Very Large Date Base.,VLDB,VLDB
Almost optimal virtual machine placement for traffic intense data centers.,INFOCOM,INFOCOM
Data Dependent Optimization of ROM Structures.,ISCAS,ISCAS
Self-similarity in the Web.,VLDB,WWW
A chip-to-chip clock-deskewing circuit for 3-D ICs.,ISCAS,ISCAS
Lightweight Graphical Models for Selectivity Estimation Without Independence Assumptions.,VLDB,VLDB
QUIET: Continuous Query-driven Index Tuning.,VLDB,VLDB
Code division parallel delta-sigma A/D converter with probabilistic iterative decoding.,ISCAS,ISCAS
Measurement of cell and bacterial activity using array-based ISFET Chemical Current-Conveyor in weak-inversion.,ISCAS,ISCAS
A scalable offset-cancelled current/voltage sense amplifier.,ISCAS,ISCAS
A review of magnetic cellular automata systems.,ISCAS,ISCAS
A hierarchical monothetic document clustering algorithm for summarization and browsing search results.,WWW,WWW
Towards Economically Viable Infrastructure-Based Overlay Multicast Networks.,INFOCOM,INFOCOM
iBind: smooth indirect binding using segmented thin-layers.,SIGGRAPH,SIGGRAPH
